x1,x2,y
14.7781859571,0.8014867899,25.2569118154
2.9549090657,0.1856011316,1.5393407467
-2.6860444248,-0.4399547003,-0.388115205
-3.6050264258,0.4470223238,2.5290922559
-0.1250121882,-0.1246868265,7.2765080845
10.8402085165,-0.9879549969,22.8485434548
1.8012470566,0.9735635398,9.095774436
14.4412500132,0.9541218988,37.6925610569
-1.682890309,-0.9937240452,6.3995250757
4.1820733156,-0.8626474485,15.8942484233
-1.565038464,-0.9999834236,3.6090565405
-0.370457964,-0.3620423664,2.2454054251
10.4562389152,-0.8580502009,35.6850184197
-3.0739691667,-0.067571959,8.5787392434
4.0689554019,-0.8000405164,18.7754029979
-3.3059857413,0.1636536314,5.9214594201
6.2133173412,-0.0698111361,15.8504876604
-4.8259080015,0.9935636323,1.9295630886
14.714741814,0.8377892167,27.4645171158
1.3316960819,0.9715514558,16.3558769622
7.7889788384,0.9978880621,23.8988856579
0.9044647077,0.7860944,11.630611674
14.9340738775,0.6989222011,30.6392975897
13.1204264052,0.5261405817,24.3315728454
14.7747828811,0.8035172269,31.7437732382
-3.6870852113,0.5188392271,13.3205731862
7.5407751696,0.9513505163,24.0056415233
4.8095008172,-0.9952883502,19.1817579777
14.4204882579,0.9601322746,36.2948195544
2.2444169503,0.7815681768,17.3732789065
8.5998692224,0.734485853,30.3354265974
0.2743986063,0.2709680914,12.2528483211
-1.2857147725,-0.9596387199,1.1706998066
-1.2971355673,-0.9627880011,4.6953907142
2.5859349314,0.5275021846,13.437715383
11.9404878421,-0.5858129406,24.8638348299
4.9615226686,-0.9691263871,17.0460334075
10.8117114706,-0.9831447959,26.9857247873
11.7692774395,-0.7153278585,26.0043196688
4.1380772972,-0.8395664343,19.09447011
10.9895162936,-0.9999816504,22.7992125133
2.638861225,0.4818208013,19.5118804829
10.1940246299,-0.6955942169,20.0179462195
3.7355120433,-0.5596135217,14.5576195664
13.0843544146,0.4951294323,21.1654062633
1.3906982774,0.9838261343,11.1590508701
-3.3486181451,0.2055498207,2.9889906001
11.3257815875,-0.9459751491,22.3109719323
12.9695244133,0.3923212421,19.7616288902
14.3299279548,0.9814790508,27.8973837144
6.4613776607,0.1772508404,20.7931126903
9.4015899301,0.0231859528,21.9994756521
10.4811724834,-0.8705871989,24.9405977863
7.5552160107,0.9557005445,18.779825593
9.4597868295,-0.0350017179,21.5215880602
2.7366255783,0.393988499,8.4482377068
-1.7441844428,-0.9850059017,13.3351798761
-1.2554343324,-0.9506841648,6.1005391006
2.8249894828,0.3113403615,9.3426097311
0.478024194,0.4600257455,14.1618320775
-1.1616450362,-0.917458796,11.1515286714
5.0878361287,-0.9303437508,21.6602688964
10.2768071368,-0.7526180795,31.5203610382
8.8733774144,0.523880716,11.5773920326
5.881083766,-0.3913531286,20.4610779496
8.1817445252,0.9467648951,25.9904154552
4.3745676009,-0.9434789694,17.1359065072
4.6361107798,-0.9970922283,11.1947315014
1.7412719689,0.9855041852,10.1857984922
3.4905260336,-0.3418956588,8.3737568746
0.7403026195,0.6745113558,5.7475333209
7.023830642,0.6747643307,16.9067291005
11.8148465268,-0.6827531258,35.774033806
7.4167409539,0.9059235207,20.4758715488
-2.3089676164,-0.7397004006,8.6066405819
6.3544485904,0.0712029807,16.0790430298
3.8685266208,-0.664581775,15.4128018108
3.7595084542,-0.5793376148,12.2724328943
7.4723446509,0.928056201,16.3656971079
13.6530668382,0.8850941303,27.1397682776
12.7698516659,0.2020797825,30.7814690563
12.5708112214,0.0044405924,26.6952184801
-0.156461047,-0.1558234653,12.3816993452
9.8290759418,-0.393373436,24.5396948075
2.7531262673,0.3787695153,12.9233901735
-3.4209652245,0.2757526001,0.2357314453
-3.1032889988,-0.0382942891,-0.2248468559
10.2428546222,-0.7298323358,28.3255816763
1.9578805147,0.9260136845,12.3859138829
3.335334179,-0.1925317583,18.6015279651
1.8803246133,0.9524773642,8.1785056244
-4.8317815457,0.99288117,-2.6629511845
13.2314998144,0.6171607973,22.3077804963
-1.3558916282,-0.9769967221,0.5006325809
9.4560689805,-0.0312859137,19.8371554408
6.4392666146,0.155448353,23.0308963842
5.8007282717,-0.4639571574,22.6414851284
2.0989483083,0.8637398316,12.836688869
11.4818367641,-0.8840856671,26.7047278272
-1.2772647757,-0.9572280472,9.3142335178
2.9274917068,0.2124689884,15.3567702083
4.7242975421,-0.9999290939,15.8103958157
4.938818044,-0.9744742786,11.0050418064
